modelo,fase,target,columna_target,feature,rol,n,sd_target,rango_rel_sd,forma,forma_pd,x_extremo,teoria,tipo_teorico,concuerda,comentario
Fusión_sn_kg_default,Fusión,sn_kg,sn_extraido_est_kg,feed_Sn_kgf,ACTION_PLAN,1743,3019.52,2.326,monótona +,monótona +,15604.1558,"+ (ACTION de plan, mas Sn cargado en el escalon)",mono+,sí,"monotona + como se esperaba; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,1.00)"
Fusión_sn_kg_default,Fusión,sn_kg,sn_extraido_est_kg,sn_inventario_escoria_est_kg_prev,STATE,1743,3019.52,0.1688,óptimo interior (mínimo),óptimo interior (mínimo),1271.1438,+ (fuerza impulsora de la reaccion),mono+,no,"signo opuesto al esperado; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.29,0.90)"
Fusión_sn_kg_default,Fusión,sn_kg,sn_extraido_est_kg,masa_escoria_est_kg_prev,STATE,1743,3019.52,0.3294,no monótona compleja,óptimo interior (mínimo),213794.3993,no cubierta explicitamente por la tabla teorica de ITERACION_4_diseno.md (feature estructural/de contexto); se reporta como auditoria exploratoria,no_cubierta,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: PD dice 'óptimo interior (mínimo)'; fracpos_shap[0,-1]=(0.00,0.45)"
Fusión_sn_kg_default,Fusión,sn_kg,sn_extraido_est_kg,feo_inventario_escoria_est_kg_prev,STATE,1743,3019.52,0.7754,monótona +,monótona +,15081.1428,no cubierta explicitamente por la tabla teorica de ITERACION_4_diseno.md (feature estructural/de contexto); se reporta como auditoria exploratoria,no_cubierta,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,1.00)"
Fusión_sn_kg_default,Fusión,sn_kg,sn_extraido_est_kg,ley_sn_escoria_pct_prev,STATE,1743,3019.52,0.1158,óptimo interior (máximo),no monótona compleja,21.2784,+ (fuerza impulsora de la reaccion),mono+,parcial,"sube y luego cae (posible sobre-ajuste o efecto real de saturacion/reversion); ALE vs PD: PD dice 'no monótona compleja'; fracpos_shap[0,-1]=(0.01,0.89)"
Fusión_sn_kg_default,Fusión,sn_kg,sn_extraido_est_kg,interaccion_C_x_Sn_prev,DERIVED_CONTROL,1743,3019.52,0.1753,monótona +,monótona +,958.0738,"Fusion: + (misma reserva que carbon; efecto propio fragil, ver DML 14.5)",mono+_debil,sí,"efecto + presente (teoria lo esperaba debil); ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,1.00)"
Fusión_sn_kg_default,Fusión,sn_kg,sn_extraido_est_kg,tasa_feed_Carbon_kg_min,CONTROL,1743,3019.52,0.0842,monótona +,monótona +,62.7895,Fusion: + pero el efecto propio no se identifica separado de la carga en DML conjunto (hallazgos 14.5) -- se espera + debil o plano,mono+_debil,sí,"efecto + presente (teoria lo esperaba debil); ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,1.00)"
Fusión_sn_kg_default,Fusión,sn_kg,sn_extraido_est_kg,relacion_CaO_carga,DERIVED_CONTROL,1743,3019.52,0.1736,óptimo interior (mínimo),óptimo interior (mínimo),0.1035,"- (dilucion de la escoria, menor actividad relativa) en Fusion",mono-,parcial,"baja y luego sube (posible efecto real o ruido en el extremo); ALE vs PD: coincide; fracpos_shap[0,-1]=(0.93,0.21)"
Fusión_sn_kg_default,Fusión,sn_kg,sn_extraido_est_kg,tasa_gn_nm3_min,CONTROL,1743,3019.52,0.2005,óptimo interior (mínimo),no monótona compleja,30.4572,+ (calor + gas reductor) con meseta termica,mono+_sat,no,"signo opuesto al esperado; ALE vs PD: PD dice 'no monótona compleja'; fracpos_shap[0,-1]=(0.46,0.73)"
Fusión_sn_kg_default,Fusión,sn_kg,sn_extraido_est_kg,exceso_o2_combustion_pct,DERIVED_CONTROL,1743,3019.52,0.0786,óptimo interior (máximo),óptimo interior (mínimo),19.181,"~0 en Fusion (regimen oxidante ya dado, no debiera dominar)",sin_restriccion,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: PD dice 'óptimo interior (mínimo)'; fracpos_shap[0,-1]=(0.79,0.57)"
