id,fase,unidad,direccion,agg,num,den,teoria,fuente,familia,nota
FE01_frac_fe_retenido_oxido,Fusión,fraccion,1,ratio,feo_ganado_fe_eq,fe_feed_kg,"Fraccion del Fe cargado (mineral t4 + dross t5, kg de corriente como proxy de Fe -- sin ley de Fe del feed) que queda retenido en la escoria como FeO (Fe cargado = Fe-oxido + Fe-metalizado): Fe_FeO = d(FeO_inv)*M_Fe/M_FeO, num/den = cociente de sumas sobre la fase.",Guia 7.4; consideraciones 5.1-5.2; ST-09,balance_Fe,
FE02_frac_fe_metalizado_implicito,Fusión,fraccion,-1,ratio,fe_metal_implicito_kg,fe_feed_kg,"Complemento de FE01 (misma partida de masa, canal complementario): fraccion del Fe cargado que NO quedo como FeO (metalizado implicitamente -> hardhead/dross). Por construccion FE02 = 1 - FE01 en la muestra total.",Guia 7.4; ST-09,balance_Fe,
FE03_fe_metalizado_implicito_kg,Fusión,kg Fe,-1,sum,,,Version en kg absolutos (sin normalizar por tamano de batch) de FE02: Fe cargado menos FeO ganado.,Guia 7.4; ST-09,balance_Fe,
FE04_pureza_feo_fe_total,Reducción,fraccion,0,last,,,"Fraccion del Fe total de la escoria (ensayo ley_fe_total_escoria_pct) explicada por el FeO medido, al cierre de Reduccion: <1 sugiere Fe no-FeO (Fe3+, u oclusiones/finos metalicos entrampados). Sin signo teorico claro a priori (exploratorio: podria senalar tanto matriz mas oxidada -bien- como arrastre metalico -mal-).",consideraciones 5.1; Guia 7.4; ST-09,balance_Fe,
SB01_sn_metal_eq_l06_R,Reducción,fraccion del Sn cargado,1,sb_custom,_sb_l06,cum_feed_sn_incl,"Sn extraido de la escoria menos lambda=0.6 veces el FeO extraido (si FeO crece, feo_ext<0 y el termino SUMA -- matriz protectora --; si FeO se reduce, feo_ext>0 y el termino RESTA -- perdida a dross --), normalizado por el Sn total cargado al cierre de la fase (cum_feed_sn_incl, ultimo valor: el feed de Sn en Reduccion es ~0 por escalon, por eso se usa el acumulado y no la suma de feed_Sn_kgf de la fase).",exp 15/19 (lambda_Fe=0.30/0.60); Guia 3.3; ST-09,balance_Sn,
SB02_sn_metal_eq_l15_R,Reducción,fraccion del Sn cargado,1,sb_custom,_sb_l15,cum_feed_sn_incl,"Igual que SB01 con lambda=1.5 (limite superior exploratorio, por encima del IC de lambda_Fe de exp 19).",exp 19 IC; Guia 3.3; ST-09,balance_Sn,
SB03_sn_metal_eq_l06_F,Fusión,fraccion del Sn cargado,1,sb_custom,_sb_l06,cum_feed_sn_incl,"Igual que SB01 pero evaluado en Fusion: alli feo_ext es tipicamente negativo (el FeO se esta formando, no reduciendo), asi que el termino -lambda*feo_ext es tipicamente positivo -- premia formar FeO sin extraer Sn.",exp 15/19; Guia 3.3; ST-09,balance_Sn,
SB04_sn_metal_eq_l15_F,Fusión,fraccion del Sn cargado,1,sb_custom,_sb_l15,cum_feed_sn_incl,Igual que SB03 con lambda=1.5.,exp 19 IC; Guia 3.3; ST-09,balance_Sn,
MX01_nbo_t_F,Fusión,adimensional,1,last,,,"NBO/T aproximado (Guia 5.4, idealizacion con Si/Al tetraedricos y modificadores divalentes): 2*(n_CaO+n_MgO+n_FeO - n_Al2O3) / (n_SiO2 + 2*n_Al2O3), usando %FeO MEDIDO (no FeO-equivalente de Fe total). Mas alto = escoria mas despolimerizada (mas fluida) dentro del rango historico; fuera de rango puede favorecer solidos (5.5-5.6) -- indice bajo supuestos, no NBO/T termodinamico medido.",Guia 5.4; ST-09,matriz,
MX02_nbo_t_R,Reducción,adimensional,1,twmean,,,"NBO/T aproximado (igual formula que MX01), media ponderada por tiempo durante toda la Reduccion.",Guia 5.4; ST-09,matriz,
MX03_feo_sio2_F,Fusión,kg/kg,1,last,,,Razon fayalitica B_f = %FeO/%SiO2 (Guia 5.6) al cierre de Fusion: alta = matriz fayalitica fluida (2FeO+SiO2 <-> Fe2SiO4).,Guia 5.6; ST-09,matriz,
MX04_feo_sio2_R,Reducción,kg/kg,1,twmean,,,"Razon fayalitica FeO/SiO2, media ponderada por tiempo en Reduccion.",Guia 5.6; ST-09,matriz,
MX05_al2o3_sobre_mod_R,Reducción,kg/kg,-1,twmean,,,"Al2O3 / (FeO+CaO): formador/compensador de red (Al2O3, Guia 5.6/7.5) sobre modificadores; alto = mas viscoso y mayor liquidus. Minimizar (media ponderada por tiempo en Reduccion).","Guia 5.6, 7.5; ST-09",matriz,
MX06_irf_twmean_R,Reducción,IRF,1,twmean,,,"IRF medio ponderado por tiempo durante TODA la Reduccion (contraste con el ganador F10, que es el 'ultimo valor' al cierre de Fusion): mide si sostener un IRF alto durante la reduccion misma aporta señal adicional.",hallazgos 14.6; ST-05; ST-09,matriz,
MX07_irf_inicio_R,Reducción,IRF,1,first,,,"IRF al primer escalon VALIDO de Reduccion (estado heredado del cierre de Fusion): separa el estado inicial del cambio durante la fase, en paralelo al hallazgo 'heel de matriz de escoria' de ST-05 (IRF de F0 <- IRF final de la Reduccion anterior) pero mirado desde el lado de Reduccion.",ST-05 hallazgo heel; ST-09,matriz,
MX08_indice_fluidez_R,Reducción,adimensional,1,twmean,,,"Indice de fluidez = IRF - 1.0*(%Al2O3/100): valora el IRF y penaliza el formador de red Al2O3 a la vez. Peso K ilustrativo (no ajustado por regresion), declarado.","Guia 5.6, 7.5; ST-09",matriz,
