id,fase,unidad,direccion,agg,num,den,teoria,fuente,familia,nota
R01_sn_ext,Reducción,kg Sn,1,sum,,,Sn que deja la escoria (SnO2 + 2C -> Sn): objetivo v4; el agregado es la extraccion total de la fase.,hallazgos 14.2; v4,extraccion,
R02_feo_ret,Reducción,kg FeO,-1,sum,,,FeO reducido a Fe0 (FeO + C -> Fe + CO): sobre-reduccion -> hardhead/dross que arrastra Sn. Minimizar.,"Guia 5.3, 11.3; exp 15 lambda_Fe",sobre-reduccion,
R03_sn_net_l03,Reducción,kg Sn eq,1,sum,,,"Sn extraido menos el Sn que el FeO reducido enviara a dross (lambda 0.30, canal dross).",exp 15,metal-equivalente,
R04_sn_net_l06,Reducción,kg Sn eq,1,sum,,,Sn extraido menos Sn perdido a dross+polvo por FeO reducido (lambda 0.60): objetivo J_R de v4.,exp 19; v4,metal-equivalente,
R05_sn_net_l10,Reducción,kg Sn eq,1,sum,,,Metal equivalente con lambda 1.0 (limite superior del IC de lambda_Fe).,exp 19 IC,metal-equivalente,
R06_frac_sn,Reducción,fraccion,1,survival,,,Fraccion del Sn disponible extraida (cinetica de 1er orden): batch = 1 - prod(1 - f_t) = fraccion total de la fase.,Guia 10.7,extraccion,
R07_kapp_sn,Reducción,1/min,1,kapp,,,"Constante aparente de agotamiento de Sn en masa, k = -ln(inv_t/inv_t-1)/dt; batch = -ln(inv_fin/inv_ini)/sum dt.",Guia 10.7,extraccion,
R08_feo_ret_frac,Reducción,fraccion,1,product,,,Fraccion del FeO que permanece en la escoria (no metalizado); batch = prod = FeO_fin/FeO_ini.,Guia 5.2-5.3,sobre-reduccion,
R09_selectividad,Reducción,kg Sn/kg FeO,1,ratio,sn_ext,feo_ext,Selectividad en masa Sn/FeO (SRE): kg de Sn extraido por kg de FeO reducido; batch = cociente de sumas.,"consideraciones 32, 72",selectividad,
R10_log_selectividad,Reducción,log(kg/kg),1,ratio_log,sn_ext,feo_ext,"log de la selectividad (escala simetrica, multiplicativa); batch = log(sum Sn / sum FeO).","consideraciones 26.1, 32",selectividad,
R11_util_carbon,Reducción,kg Sn/kg Sn-capacidad C,1,ratio,sn_ext,c_cap_sn,"Utilizacion del carbon: Sn extraido / Sn que el carbon podria reducir estequiometricamente (C que no fue a Sn fue a Fe, CO2 o inquemado).",Guia 14,selectividad,
R12_d_avance,Reducción,fraccion del Sn cargado,1,sum,,,Incremento del avance de reduccion (Sn extraido / Sn cargado acumulado); suma telescopica = avance_fin - avance_ini.,consideraciones 44.1,extraccion,
R13_sn_residual,Reducción,kg Sn,-1,last,,,Sn que queda en la escoria al cierre del escalon (restriccion Sn_slag_final <= limite); batch = inventario final.,consideraciones 38,extraccion,
R14_log_sn_feo_next,Reducción,log(%Sn/%FeO),-1,last,,,log-ratio Sn/FeO de la escoria al cierre: bajo = se agoto el Sn sin agotar el FeO (limpieza selectiva).,consideraciones 26.1,selectividad,
R15_d_log_sn_feo,Reducción,d log(%Sn/%FeO),-1,sum,,,Caida del log-ratio Sn/FeO en el escalon (composicion cerrada corregida por FeO); suma telescopica.,"consideraciones 26.1, 32",selectividad,
R16_feo_por_sn_disp,Reducción,kg FeO/kg Sn disp,-1,ratio,feo_ext,sn_disp,FeO reducido por kg de Sn aun disponible: intensidad de sobre-reduccion relativa a la fuerza impulsora restante.,"Guia 3.3, 11.3",sobre-reduccion,
